ID,Внешний проектный актор (должность),Физический носитель роли сейчас,Проектная роль,Ключевой интерес,Подтверждение из отчётов,Основание подтверждения,Тип внешнего контура,FPF-обоснование типизации,Метод роли,Работа роли,Ключевой артефакт / результат
11,Финансовый директор,Мерей,Потребитель управленческой предсказуемости,Получить прозрачный ритм решений CEO+CFO и согласование расходов,явная,В weekly report есть гипотеза об открытом собрании CEO+CFO и вопрос о формате,Внешний управляющий контур,Роль зависит от стабильности правил и предсказуемости решений.,Синхронизировать финансовую сторону с ритмом решений,Участвовать в согласовании расходов и финансовых решений,Формат CEO+CFO / согласованные финансовые решения
12,Юрист,Не определено,Контролёр договорных и регламентных рисков,Снизить правовые риски изменений,выведенная из контекста,Роль не названа прямо но естественна для проектного контура изменений,Внешний управляющий контур,Роль ограничивает допустимые изменения через нормативные рамки.,Проверять правовые ограничения изменений,Согласовывать рискованные договорные и регламентные изменения,Юридические ограничения / согласования
13,ИБ / инфобез,Не определено,Контролёр информационного риска,Снизить риски доступа к данным и коммуникациям,выведенная из контекста,Роль не названа прямо но возникает из технологического и коммуникационного контура проекта,Внешний технологический контур,Роль ограничивает инструментальную среду и режим работы с данными.,Определять допустимый режим работы с данными и инструментами,Ограничивать доступы и рискованные практики,Политики доступа / ограничения по данным
14,HRD / руководитель HR,Арай,Наблюдатель организационной дисциплины,Собрать устойчивые правила ролей и взаимодействия,явная,В weekly report есть RACI-матрица грейды ИПР и должностные инструкции,Внешний кадровый контур,Роль влияет на воспроизводство и упорядочение носителей работ.,Формализовать роли требования и кадровые рамки,Собирать RACI грейды ИПР и должностные инструкции,RACI / грейды / ИПР / должностные инструкции
15,HRD / руководитель HR,Арай,Защитник устойчивости управленческой команды,Снизить расфокус и кадровые провалы,явная,В отчётах явно проявлены найм и влияние внеплановых задач на устойчивость HR-контура,Внешний кадровый контур,Роль защищает устойчивость состава и режимов работы команды.,Поддерживать устойчивость состава и загрузки команды,Закрывать кадровые провалы и организационные дефициты,План найма / правила загрузки команды
16,Внешний трекер внедрения стратегии,Азиза,Трансформер управленческого ритма,Сделать еженедельный ритм исполнения стратегии реальным,явная,Азиза прямо названа трекером стратегической сессии,Внешний методический контур,Роль задаёт способ наблюдения и изменения системы через трекшн-ритм.,Вести трекшн как метод удержания внимания на стратегии,Проводить еженедельные трекшн-встречи и удерживать фокус,Трекшн-сессии / weekly review
17,Внешний трекер внедрения стратегии,Азиза,Защитник собственной загрузки и управляемости процесса,Удержать масштаб трекшн-контура в управляемых границах,выведенная из контекста,Следует из логики внешнего сопровождения нескольких топов и общего контура встреч,Внешний методический контур,Роль поддерживает жизнеспособность самого метода и его несущей мощности.,Ограничивать перегруз метода и сохранять управляемость контура,Нормировать объём встреч вопросов и сопровождения,Правила трекшн-контура / границы метода
18,Ведущий трекер месячного review / сессии решений CEO,Азиза,Фасилитатор сессии управленческих решений,Довести CEO до решений по системным узким местам,явная,В month 1 описан формат CEO + Азиза + трекерская команда и правила встречи,Внешний методический контур,Роль не делает работу за систему а перестраивает рамку принятия решений.,Фасилитировать review как сессию решений,Готовить и вести месячный review CEO,Месячный review / протокол решений CEO
19,Автор executive summary / системный диагност,Азиза,Интерпретатор состояния системы для первого лица,Собрать наблюдения недели в диагностическую картину для CEO,явная,Weekly report прямо оформлен как executive summary для CEO и содержит раздел диагностики трекера,Внешний методический контур,Роль создаёт эпистемический артефакт для управленческого решения.,Собирать управленческую диагностику и формулировать выводы,Готовить executive summary и выделять узкие места,Executive summary / диагностическая записка
20,Трекерская команда,Азиза + трекерская команда (остальные имена не указаны),Коллективный держатель методического контура,Удерживать качество наблюдения интерпретации и протоколов,явная,В month 1 прямо указаны CEO + Азиза + трекерская команда как участники review,Внешний методический контур,Роль представляет коллективный носитель метода а не отдельного исполнителя.,Калибровать наблюдения и поддерживать методический контур,Участвовать в review подготовке материалов и калибровке выводов,Методические материалы / калибровка выводов
21,Ментор по теории ограничений / стратегической фокусировке,Айдар,Носитель внешней рамки фокусировки системы,Сфокусировать компанию на главном ограничении,явная,В weekly report зафиксировано предложение Айдара по расширенному формату и внешней фокусировке,Внешний методический контур,Роль калибрует способ видеть систему и её узкие места.,Вводить внешнюю рамку фокусировки и ограничения,Переопределять фокус компании вокруг главного узкого места,Менторские рекомендации / рамка фокусировки
22,Ментор / советник CEO,Айдар,Участник внешнего контура кросс-функциональной синхронизации,Добиться совместного разбора ОП + маркетинг + финансы,явная,В weekly report явно предложен расширенный трекинг с менторами,Внешний методический контур,Роль соединяет контуры и меняет рамку межфункционального взаимодействия.,Включать внешнюю синхронизацию между функциями,Участвовать в расширенном разборе межфункциональных узких мест,Формат расширенного трекинга с менторами
23,Внешний эксперт по экспресс-аудиту отдела продаж,Будущий внешний эксперт (не нанят / имя не определено),Свежий диагност узких мест ОП,Дать независимую картину по продажам за 1–2 дня,явная,Вопрос о нужности внешнего эксперта для экспресс-аудита ОП поставлен прямо,Внешний методический контур,Роль приносит внешнее диагностическое знание для перенастройки решений.,Провести быстрый внешний диагноз продаж,Сделать экспресс-аудит ОП и выдать выводы,Отчёт / выводы по экспресс-аудиту ОП
24,Внутренний владелец процесса стратегического планирования после ухода трекера,Будущий внутренний носитель (не определён),Будущий хозяин процесса,Унаследовать и удержать процесс после ухода внешнего контура,выведенная из контекста,Следует из логики любого проекта внедрения с внешним трекером,Внешний управляющий контур,Роль обеспечивает перенос метода из внешнего контура во внутренний.,Принять процесс на себя после ухода внешнего трекера,Поддерживать цикл планирования и перепланирования самостоятельно,Внутренний регламент / цикл стратегического планирования
25,Поставщик/архитектор AI-автоматизации и транскрибации,Тимур,Технологический обеспечиватель проекта,Дать инструменты ускорения и фиксации управленческой работы,явная,В month 1 и weekly report есть ИИ-инструменты и технологические гипотезы,Внешний технологический контур,Роль обеспечивает инструментальную среду для методов и артефактов.,Поставлять и настраивать AI-инструменты для проекта,Поддерживать автоматизацию транскрибацию и аналитические инструменты,AI-инструменты / настройки / автоматизации
26,Поставщик/архитектор AI-автоматизации и транскрибации,Тимур,Носитель ограничения по зрелости инструмента,Снизить потери от незрелых AI-решений и неполной автоматизации,выведенная из контекста,Следует из природы экспериментальных AI-инструментов в проекте,Внешний технологический контур,Роль ограничивает границы применимости инструментального слоя.,Ограничивать применение незрелых инструментов,Калибровать реалистичность автоматизации и её риски,Ограничения инструмента / карта рисков автоматизации
27,Кандидат / будущий контент-маркетолог,Будущий контент-маркетолог (кандидат ещё не выбран),Закрыватель провала контентного контура,Быстро войти и восстановить контентный поток в сезон,явная,В отчётах прямо указан найм прожект-менеджера / контент-маркетолога и 20 финалистов,Внешний кадровый контур,Роль восполняет недостающего носителя работы в критичном контуре.,Быстро закрыть дефицит контентной функции,Запустить производство контента и поддержать маркетинговый ритм,Выход в роль / контент-план / публикации
28,Кандидат / будущий project manager,Будущий project manager (кандидат ещё не выбран),Закрыватель операционного разрыва внедрения,Снять перегруз и улучшить координацию исполнения,явная,В weekly report вакансия PM упомянута явно вместе с контент-маркетологом,Внешний кадровый контур,Роль нужна для воспроизводства и связывания работ между участниками.,Закрыть дефицит координации и контроля исполнения,Собирать статусы сроки и связность исполнения,План работ / статус-контур / координационный ритм
29,Внешний PR/медиа-партнёр,Trendlenta,Канал капитализации результатов проекта,Усилить охват и перевести результаты в внешний эффект,явная,В month 1 прямо упомянуты партнёрство с Trendlenta и PR-контур,Внешний рыночный контур,Роль расширяет внешнюю интерпретацию ценности и рыночное присутствие.,Усиливать внешний эффект и дистрибуцию результатов,Давать PR-охват и поддерживать внешний контур присутствия,PR-размещения / партнёрский медиарезультат
30,Клиент компании-клиента / ученик,Множество учеников / клиентов (без имён),Конечный получатель косвенных последствий,Получить лучший образовательный сервис и опыт,выведенная из контекста,Не как участник встреч а как внешний бенефициар изменений системы,Внешний рыночный контур,Роль находится на стороне внешнего спроса и ценности.,Выступать получателем ценности и обратной связи,Потреблять сервис и косвенно валидировать результат изменений,Опыт ученика / NPS / обратная связь
31,Близкие люди топ-менеджеров,Близкие людей топ-команды (без имён),Внешний социальный оценщик последствий проекта,Снизить разрушительные эффекты перегрузки управленцев,выведенная из контекста,Не названы прямо но уместны как внешний социальный контур последствий,Внешний социальный контур,Роль влияет на устойчивость проекта через социальную цену перегрузки.,Оценивать социальную цену перегрузки и ритма работы,Косвенно ограничивать допустимую нагрузку управленцев,Социальные последствия / устойчивость режима работы
32,Внешний таргетолог,Будущий / привлечённый внешний таргетолог (имя не указано),Поставщик специализированной гипотезы привлечения,Улучшить результаты следующего рекламного запуска,явная,В month 1 гипотеза внешнего таргетолога отмечена как принятая,Внешний рыночный контур,Роль приносит внешний рыночный метод тестирования спроса.,Привносить внешнюю гипотезу и практику лидогенерации,Настраивать и тестировать рекламные запуски,Гипотеза таргета / результаты запуска
